AAL70;KDFW;B772
AAL704;KCLT;B772
AAR541;RKSI;A359
AAR775;LOWW;B744
AAR795;LOWW;B744
ABD344P;EBLG;B744
ABR6TR;LFPG;AT75
ACA842;CYYZ;B77W
ACA844;CYUL;B77W
ACA848;CYYC;B789
AEA1509;LEMD;B738
AEA19DE;LEMD;B738
AEG462;EIDW;SF34
AFR16BR;LFPG;E190
AFR23KP;LFPG;E190
AFR64VV;LFPG;E190
AFR68JE;LFPG;E170
AFR92PT;LFPG;E190
AHO297L;EDDH;C56X
AIC121;VIDP;B788
AIC181;VOBL;B788
ALK553;VCBI;A332
ANA9655;RJAA;B77W
ANE10VH;LEMD;CRJX
ANE12PA;LEMD;CRJX
ANE87VL;LEMD;CRJX
AUA121A;LOWW;A320
AUA131;LOWW;A320
AUA1CG;LOWW;A320
AUA1EM;LOWW;A320
AUA1FR;LOWW;A320
AXA222;LOWW;CL30
BAW906N;EGLL;A319
BAW908N;EGLL;A319
BAW910;EGLL;B789
BAW914N;EGLL;A320
BCS29Q;EDDP;A306
BCS6259;LEMD;A306
BCS6717;EGGW;A306
BCS91K;EDDP;B752
BEL2607;EBBR;A320
BEL2617;EBBR;A320
BOX1577;RKSI;B77L
BOX487;KLAX;B77L
BOX499;KLAX;B77L
BOX625;VABB;B77L
BTI6JK;EVRA;BCS3
BTI83L;EVRA;BCS3
BTX202;LFPB;PC24
CAL061;RCTP;A359
CAO1031;ZUCK;B744
CAO1041;ZSPD;B77L
CAT5590;ESNX;CRJ2
CCA577;ZBAA;A359
CCA581;ZBAA;B77W
CCA583;ZBAA;A332
CCA627;ZSPD;A359
CCA643;ZUCK;B789
CCA679;ZBAA;B789
CES7219;ZSPD;B77W
CFE40E;EGLC;E190
CFE504;EGLC;E190
CFE7VR;EGLC;E190
CFE924;EGLC;E190
CFG031;HEGN;B753
CFG1DA;LEPA;A321
CFG1MW;GCTS;A321
CFG2115;MMUN;B763
CFG2117;MMUN;B763
CFG2144;MDSD;B763
CFG2199;MUVR;B763
CFG2227;MDPC;B763
CFG2229;MDPC;B763
CFG2315;FIMP;B763
CFG2367;ZSJN;B763
CFG3705;MDLR;B763
CFG3845;MDLR;B763
CFG5VL;GCTS;A321
